year,siruta,municipality,county,county_code,status,artifact_status,strict_line_rate,recall_measured,plan_comparison_eligible,plan_exclusion_reason,execution_comparison_eligible,execution_exclusion_reason,population,population_date,area_km2,density_per_km2,planned_revenue_mii_lei,planned_expense_mii_lei,planned_balance_mii_lei,planned_revenue_lei_per_capita,planned_expense_lei_per_capita,planned_balance_lei_per_capita,plan_expense_per_capita_rank,plan_expense_rank_cohort,execution_quarter,execution_date,actual_revenue_mii_lei,actual_expense_mii_lei,actual_balance_mii_lei,actual_revenue_lei_per_capita,actual_expense_lei_per_capita,actual_balance_lei_per_capita,execution_expense_per_capita_rank,execution_expense_rank_cohort,revenue_execution_pct,expense_execution_pct,planned_revenue_yoy_pct,planned_expense_yoy_pct,regional_classification_version,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,hicp_annual_average_rate_pct,inflation_status,planned_revenue_yoy_real_pct,planned_expense_yoy_real_pct
2026,1017,Alba Iulia,Alba,01,converted,verified,100.0,False,True,,True,,64227,2021-12-01,103.65,619.65,646801.06,650517.76,-3716.7,10070.55,10128.42,-57.87,3,9,2,2026-06-30,296585.66492,281716.7958,14868.869,4617.77,4386.27,231.5,3,41,45.9,43.3,0.35,-0.22,NUTS 2024,RO1,Macroregiunea Unu,RO12,Centru,RO121,Alba,,full_year_not_available,,
2026,9262,Arad,Arad,02,converted,verified,68.0,False,False,total_cheltuieli_lipsa,True,,145078,2021-12-01,116.5,1245.3,1250646.5,,,,,,,,2,2026-06-30,636605.69319,562656.64397,73949.049,4388.02,3878.3,509.72,7,41,,,,,NUTS 2024,RO4,Macroregiunea Patru,RO42,Vest,RO421,Arad,,full_year_not_available,,
2026,13169,Pitești,Argeș,03,converted,verified,70.5,False,True,,True,,141275,2021-12-01,111.13,1271.26,848702.87,969479.87,-120777.0,6007.45,6862.36,-854.91,6,9,2,2026-06-30,453197.64249,379335.62477,73862.018,3207.91,2685.09,522.82,31,41,53.4,39.1,-19.35,-7.88,NUTS 2024,RO3,Macroregiunea Trei,RO31,Sud-Muntenia,RO311,Argeș,,full_year_not_available,,
2026,20297,Bacău,Bacău,04,converted,verified,73.4,False,False,total_cheltuieli_lipsa,True,,136087,2021-12-01,43.1,3157.47,,,,,,,,,2,2026-06-30,522028.26406,388218.45081,133809.813,3835.99,2852.72,983.27,24,41,,,,,NUTS 2024,RO2,Macroregiunea Doi,RO21,Nord-Est,RO211,Bacău,,full_year_not_available,,
2026,26564,Oradea,Bihor,05,converted,verified,93.7,False,True,,True,,183105,2021-12-01,116.1,1577.13,,1879752.4,,,10265.98,,2,9,2,2026-06-30,960304.72981,755875.19863,204429.531,5244.56,4128.1,1116.46,5,41,,40.2,,-25.77,NUTS 2024,RO1,Macroregiunea Unu,RO11,Nord-Vest,RO111,Bihor,,full_year_not_available,,
2026,32394,Bistrița,Bistrița-Năsăud,06,converted,verified,77.8,False,False,total_cheltuieli_lipsa,True,,78877,2021-12-01,145.47,542.22,,,,,,,,,2,2026-06-30,308360.96733,234210.15502,74150.812,3909.39,2969.31,940.08,22,41,,,,,NUTS 2024,RO1,Macroregiunea Unu,RO11,Nord-Vest,RO112,Bistrița-Năsăud,,full_year_not_available,,
2026,35731,Botoșani,Botoșani,07,converted,verified,64.1,False,True,,True,,90010,2021-12-01,41.36,2176.26,,557751.57,,,6196.55,,8,9,2,2026-06-30,362871.8694,310670.28833,52201.581,4031.46,3451.51,579.95,12,41,,55.7,,78.24,NUTS 2024,RO2,Macroregiunea Doi,RO21,Nord-Est,RO212,Botoșani,,full_year_not_available,,
2026,40198,Brașov,Brașov,08,converted,verified,96.5,False,True,,True,,237589,2021-12-01,267.0,889.85,1006716.06,1599854.11,-593138.05,4237.22,6733.7,-2496.49,7,9,2,2026-06-30,886180.76963,577422.26902,308758.501,3729.89,2430.34,1299.55,34,41,88.0,36.1,-38.8,-16.85,NUTS 2024,RO1,Macroregiunea Unu,RO12,Centru,RO122,Brașov,,full_year_not_available,,
2026,42682,Brăila,Brăila,09,converted,verified,72.1,False,True,,True,,154686,2021-12-01,77.9,1985.7,863892.19,550564.87,313327.32,5584.81,3559.24,2025.57,9,9,2,2026-06-30,338737.56562,305092.97385,33644.592,2189.84,1972.34,217.5,40,41,39.2,55.4,3.86,-35.93,NUTS 2024,RO2,Macroregiunea Doi,RO22,Sud-Est,RO221,Brăila,,full_year_not_available,,
2026,44818,Buzău,Buzău,10,converted,verified,65.2,False,False,total_cheltuieli_lipsa,True,,103481,2021-12-01,81.3,1272.83,832952.64,,,,,,,,2,2026-06-30,362434.67336,318030.34349,44404.33,3502.43,3073.32,429.11,19,41,,,,,NUTS 2024,RO2,Macroregiunea Doi,RO22,Sud-Est,RO222,Buzău,,full_year_not_available,,
2026,50790,Reșița,Caraș-Severin,11,missing_pdf,,,,False,status_missing_pdf,True,,58393,2021-12-01,197.65,295.44,,,,,,,,,2,2026-06-30,226563.633,211475.2076,15088.425,3879.98,3621.58,258.39,10,41,,,,,NUTS 2024,RO4,Macroregiunea Patru,RO42,Vest,RO422,Caraș-Severin,,full_year_not_available,,
2026,92569,Călărași,Călărași,12,converted,verified,49.4,False,False,total_cheltuieli_lipsa,True,,58211,2021-12-01,133.22,436.95,225165.0,,,,,,,,2,2026-06-30,140519.72505,118541.02708,21978.698,2413.97,2036.4,377.57,38,41,,,,,NUTS 2024,RO3,Macroregiunea Trei,RO31,Sud-Muntenia,RO312,Călărași,,full_year_not_available,,
2026,54975,Cluj-Napoca,Cluj,13,converted,verified,94.8,False,False,total_cheltuieli_lipsa,True,,286598,2021-12-01,179.5,1596.65,3918810.049,,,,,,,,2,2026-06-30,1584581.58387,1134920.76504,449660.819,5528.93,3959.97,1568.96,6,41,,,,,NUTS 2024,RO1,Macroregiunea Unu,RO11,Nord-Vest,RO113,Cluj,,full_year_not_available,,
2026,60419,Constanța,Constanța,14,converted,verified,74.8,False,False,total_cheltuieli_lipsa,True,,263688,2021-12-01,124.89,2111.36,2315972.0,,,,,,,,2,2026-06-30,1174226.1798699999,938093.69345,236132.486,4453.09,3557.59,895.5,11,41,,,,,NUTS 2024,RO2,Macroregiunea Doi,RO22,Sud-Est,RO223,Constanța,,full_year_not_available,,
2026,63394,Sfântu Gheorghe,Covasna,15,converted,verified,93.9,False,False,total_cheltuieli_lipsa,True,,50080,2021-12-01,72.92,686.78,,,,,,,,,2,2026-06-30,252872.28277,237077.99354,15794.289,5049.37,4733.99,315.38,2,41,,,,,NUTS 2024,RO1,Macroregiunea Unu,RO12,Centru,RO123,Covasna,,full_year_not_available,,
2026,65342,Târgoviște,Dâmbovița,16,converted,verified,100.0,False,True,,True,,66965,2021-12-01,50.4,1328.67,679983.0,696115.0,-16132.0,10154.3,10395.21,-240.9,1,9,2,2026-06-30,327697.96991,323870.68788,3827.282,4893.57,4836.42,57.15,1,41,48.2,46.5,11.82,11.45,NUTS 2024,RO3,Macroregiunea Trei,RO31,Sud-Muntenia,RO313,Dâmbovița,,full_year_not_available,,
2026,69900,Craiova,Dolj,17,converted,verified,47.7,False,False,total_cheltuieli_lipsa,True,,234140,2021-12-01,81.41,2876.06,,,,,,,,,2,2026-06-30,728130.42772,608928.47124,119201.956,3109.81,2600.7,509.11,33,41,,,,,NUTS 2024,RO4,Macroregiunea Patru,RO41,Sud-Vest Oltenia,RO411,Dolj,,full_year_not_available,,
2026,75098,Galați,Galați,18,converted,verified,97.7,False,False,total_cheltuieli_lipsa,True,,217851,2021-12-01,246.4,884.14,,,,,,,,,2,2026-06-30,745840.65624,693842.40776,51998.248,3423.63,3184.94,238.69,18,41,,,,,NUTS 2024,RO2,Macroregiunea Doi,RO22,Sud-Est,RO224,Galați,,full_year_not_available,,
2026,100521,Giurgiu,Giurgiu,19,converted,verified,78.0,False,False,total_cheltuieli_lipsa,True,,54551,2021-12-01,46.94,1162.14,313815.0,,,,,,,,2,2026-06-30,173169.96417,149766.5733,23403.391,3174.46,2745.44,429.02,26,41,,,,,NUTS 2024,RO3,Macroregiunea Trei,RO31,Sud-Muntenia,RO314,Giurgiu,,full_year_not_available,,
2026,77812,Târgu Jiu,Gorj,20,missing_pdf,,,,False,status_missing_pdf,True,,73545,2021-12-01,161.0,456.8,,,,,,,,,2,2026-06-30,295742.24252,237736.21503,58006.027,4021.24,3232.53,788.71,15,41,,,,,NUTS 2024,RO4,Macroregiunea Patru,RO41,Sud-Vest Oltenia,RO412,Gorj,,full_year_not_available,,
2026,83320,Miercurea Ciuc,Harghita,21,converted,verified,86.4,False,False,total_cheltuieli_lipsa,True,,34484,2021-12-01,117.66,293.08,,,,,,,,,2,2026-06-30,175469.49822,103323.00893,72146.489,5088.43,2996.26,2092.17,21,41,,,,,NUTS 2024,RO1,Macroregiunea Unu,RO12,Centru,RO124,Harghita,,full_year_not_available,,
2026,86687,Deva,Hunedoara,22,converted,verified,100.0,False,True,,True,,53113,2021-12-01,34.0,1562.15,426162.82,457871.86,-31709.04,8023.7,8620.71,-597.01,4,9,2,2026-06-30,225309.04304000002,160186.12858,65122.914,4242.07,3015.95,1226.12,20,41,52.9,35.0,-0.48,-6.6,NUTS 2024,RO4,Macroregiunea Patru,RO42,Vest,RO423,Hunedoara,,full_year_not_available,,
2026,92658,Slobozia,Ialomița,23,converted,verified,78.4,False,False,total_cheltuieli_lipsa,True,,41550,2021-12-01,132.87,312.71,353906.64,,,,,,,,2,2026-06-30,144290.33164,93444.10153,50846.23,3472.69,2248.96,1223.74,36,41,,,,,NUTS 2024,RO3,Macroregiunea Trei,RO31,Sud-Muntenia,RO315,Ialomița,,full_year_not_available,,
