oras,siruta,cod,cod_functional,sectiune,coloana,valoare_veche,valoare_noua,raport,raport_relativ,semnatura,vechi_verificat,nou_verificat,pagina_noua,prioritate
Craiova,69900,71.01.02,50.02,====== SECTIUNEA TOTAL ======,trim4,1651.00,1.00,0.0006057,0.0006376,outlier,True,True,8,5783.2
Craiova,69900,71.01.02,50.02,DEZVOLTARE,trim4,1651.00,1.00,0.0006057,0.0006376,outlier,True,True,44,5783.2
Craiova,69900,60.01,65.02,DEZVOLTARE,trim1,5903.00,6.00,0.001016,0.00107,outlier,True,True,45,4563.5
Craiova,69900,60.01,65.02,====== SECTIUNEA TOTAL ======,trim1,5903.00,6.00,0.001016,0.00107,outlier,True,True,14,4563.5
Craiova,69900,60,65.02,====== SECTIUNEA TOTAL ======,trim1,6998.00,8.00,0.001143,0.001203,outlier,True,True,14,4215.8
Craiova,69900,60,65.02,DEZVOLTARE,trim1,6998.00,8.00,0.001143,0.001203,outlier,True,True,45,4215.8
Craiova,69900,61,65.02,====== SECTIUNEA TOTAL ======,est2026,75.00,20372.00,271.6,285.9,outlier,True,True,14,1850.9
Craiova,69900,61,65.02,DEZVOLTARE,est2026,75.00,20372.00,271.6,285.9,outlier,True,True,45,1850.9
Craiova,69900,01,67.02,DEZVOLTARE,trim1,6.00,2450.00,408.3,429.8,outlier,True,True,47,1726.9
Craiova,69900,60.03,65.02,DEZVOLTARE,trim1,1071.00,2.00,0.001867,0.001966,outlier,True,True,45,1709.5
Craiova,69900,60.03,65.02,====== SECTIUNEA TOTAL ======,trim1,1071.00,2.00,0.001867,0.001966,outlier,True,True,14,1709.5
Craiova,69900,61,70.02,====== SECTIUNEA TOTAL ======,trim2,48388.00,217.00,0.004485,0.004721,outlier,True,True,21,1676.8
Craiova,69900,61,70.02,DEZVOLTARE,trim2,48388.00,217.00,0.004485,0.004721,outlier,True,True,48,1676.8
Craiova,69900,65.02.50,,====== SECTIUNEA TOTAL ======,trim3,5505.00,15.00,0.002725,0.002868,outlier,True,True,14,1675.9
Craiova,69900,65.02.50,,FUNCTIONARE,trim3,5505.00,15.00,0.002725,0.002868,outlier,True,True,35,1675.9
Craiova,69900,61.01,70.02,DEZVOLTARE,trim2,40661.00,182.00,0.004476,0.004712,outlier,True,True,48,1613.1
Craiova,69900,61.01,70.02,====== SECTIUNEA TOTAL ======,trim2,40661.00,182.00,0.004476,0.004712,outlier,True,True,21,1613.1
Craiova,69900,57.02.02,50.02,====== SECTIUNEA TOTAL ======,trim3,11520.00,40.00,0.003472,0.003655,outlier,True,True,7,1554.1
Craiova,69900,57.02.02,50.02,FUNCTIONARE,trim3,11520.00,40.00,0.003472,0.003655,outlier,True,True,29,1554.1
Craiova,69900,56.48,67.02,====== SECTIUNEA TOTAL ======,trim1,6.00,2050.00,341.7,359.6,outlier,True,True,17,1389.8
Craiova,69900,56,67.02,DEZVOLTARE,trim1,6.00,2050.00,341.7,359.6,outlier,True,True,47,1389.8
Craiova,69900,56,67.02,====== SECTIUNEA TOTAL ======,trim1,6.00,2050.00,341.7,359.6,outlier,True,True,17,1389.8
Craiova,69900,56.48,67.02,DEZVOLTARE,trim1,6.00,2050.00,341.7,359.6,outlier,True,True,47,1389.8
Craiova,69900,56.48.02,67.02,====== SECTIUNEA TOTAL ======,trim1,5.00,1742.00,348.4,366.7,outlier,True,True,17,1368.0
Craiova,69900,56.48.02,67.02,DEZVOLTARE,trim1,5.00,1742.00,348.4,366.7,outlier,True,True,47,1368.0
Craiova,69900,60,84.02,DEZVOLTARE,trim2,12913.00,56.00,0.004337,0.004565,outlier,True,True,50,1277.1
Craiova,69900,60,84.02,====== SECTIUNEA TOTAL ======,trim2,12913.00,56.00,0.004337,0.004565,outlier,True,True,24,1277.1
Craiova,69900,60.01,84.02,DEZVOLTARE,trim2,10846.00,47.00,0.004333,0.004561,outlier,True,True,50,1228.2
Craiova,69900,60.01,84.02,====== SECTIUNEA TOTAL ======,trim2,10846.00,47.00,0.004333,0.004561,outlier,True,True,24,1228.2
Craiova,69900,67.02.50,,====== SECTIUNEA TOTAL ======,trim1,6.00,1750.00,291.7,307,outlier,True,True,18,1146.4
Craiova,69900,67.02.50,,DEZVOLTARE,trim1,6.00,1750.00,291.7,307,outlier,True,True,47,1146.4
Craiova,69900,61.03,70.02,====== SECTIUNEA TOTAL ======,trim2,7727.00,35.00,0.00453,0.004768,outlier,True,True,21,1088.1
