city,preset,ok,lines,pct_clean,errors,paid_calls,cached_calls,cost_usd,schema_errors,duration_s
suceava,baseline,True,775,94.1,22,0,0,0,0,1
suceava,anthropic:claude-fable-5,True,775,95.9,8,18,0,2.8771,0,43
suceava,anthropic:claude-opus-5,True,775,95.9,8,18,0,1.7278,0,34
suceava,anthropic:claude-sonnet-5,True,775,95.9,8,18,0,0.3501,0,33
suceava,anthropic:claude-opus-4-5,True,775,95.9,8,18,0,0.2692,0,20
suceava,anthropic:claude-sonnet-4-5,True,775,95.9,8,18,0,0.1619,0,21
suceava,anthropic:claude-haiku-4-5,True,775,95.6,10,0,18,0,0,2
suceava,openai:gpt-5.1,True,775,95.4,12,18,0,0.0562,0,15
suceava,openai:gpt-5-mini,True,775,95.9,8,0,18,0,0,2
suceava,google:gemini-3.1-pro,True,775,95.9,8,18,0,0.128,0,67
suceava,google:gemini-3.6-flash,True,775,95.9,8,0,18,0,0,2
suceava,mistral:mistral-medium-3,True,775,95.6,10,2,16,0.0021,0,6
suceava,qwen:qwen3-vl-30b,True,775,95.9,8,0,18,0,0,2
sfantu-gheorghe,baseline,True,1743,92.3,59,0,0,0,0,1
sfantu-gheorghe,anthropic:claude-fable-5,True,1744,93.0,43,23,0,2.7571,0,63
sfantu-gheorghe,anthropic:claude-opus-5,True,1744,93.0,42,21,2,1.6047,0,47
sfantu-gheorghe,anthropic:claude-sonnet-5,True,1743,92.9,45,23,0,0.3551,0,58
sfantu-gheorghe,anthropic:claude-opus-4-5,True,1744,92.9,47,21,2,0.2852,0,26
sfantu-gheorghe,anthropic:claude-sonnet-4-5,True,1745,92.7,51,21,2,0.1745,0,32
sfantu-gheorghe,anthropic:claude-haiku-4-5,True,1744,92.7,52,21,2,0.0588,0,17
sfantu-gheorghe,openai:gpt-5.1,True,1744,92.7,50,23,0,0.0787,0,38
sfantu-gheorghe,openai:gpt-5-mini,True,1744,92.9,45,21,2,0.077,0,149
sfantu-gheorghe,google:gemini-3.1-pro,True,1744,93.0,44,23,0,0.1529,0,73
sfantu-gheorghe,google:gemini-3.6-flash,True,1744,92.9,46,21,2,0.0279,0,69
sfantu-gheorghe,mistral:mistral-medium-3,True,1745,92.7,51,20,0,0.0174,6,42
